id,MealDBid,name,category,area,recipe,ingredients,measurements,image,source
0,52926,Tourtiere,Pork,Canadian,"Heat oven to 200C/180C fan/gas 6. Boil the potato until tender, drain and mash, then leave to cool. Heat the oil in a non-stick pan, add the mince and onion and quickly fry until browned. Add the garlic, spices, stock, plenty of pepper and a little salt and mix well. Remove from the heat, stir into the potato and leave to cool.
Roll out half the pastry and line the base of a 20-23cm pie plate or flan tin. Fill with the pork mixture and brush the edges of the pastry with water. Roll out the remaining dough and cover the pie. Press the edges of the pastry to seal, trimming off the excess. Prick the top of the pastry case to allow steam to escape and glaze the top with the beaten egg.
Bake for 30 mins until the pastry is crisp and golden. Serve cut into wedges with a crisp green salad. Leftovers are good cold for lunch the next day, served with a selection of pickles.","['Potatoes', 'Sunflower Oil', 'Minced Pork', 'Onion', 'Garlic Clove', 'Cinnamon', 'Allspice', 'Nutmeg', 'Vegetable Stock', 'Shortcrust Pastry', 'Egg']","['1 medium', '1 tsp ', '500g', '1 finely chopped ', '1 finely chopped ', '¼ tsp', '¼ tsp', '¼ tsp', '100ml', '400g', 'To Glaze']",https://www.themealdb.com/images/media/meals/ytpstt1511814614.jpg,https://www.bbcgoodfood.com/recipes/531644/spiced-pork-and-potato-pie
1,52989,Christmas Pudding Trifle,Dessert,British,"Peel the oranges using a sharp knife, ensuring all the pith is removed. Slice as thinly as possible and arrange over a dinner plate. Sprinkle with the demerara sugar followed by the Grand Marnier and set aside.

Crumble the Christmas pudding into large pieces and scatter over the bottom of a trifle bowl. Lift the oranges onto the pudding in a layer and pour over any juices.

Beat the mascarpone until smooth, then stir in the custard. Spoon the mixture over the top of the oranges.

Lightly whip the cream and spoon over the custard. Sprinkle with the flaked almonds and grated chocolate. You can make this a day in advance if you like, chill until ready to serve.","['Orange', 'Demerara Sugar', 'Grand Marnier', 'Christmas Pudding', 'Custard', 'Mascarpone', 'Double Cream', 'Flaked Almonds', 'Dark Chocolate']","['3', '1 tbs', '2 tbs', '300g', '500g', '250g', '284ml', 'Handful', 'Grated', ' ', ' ', ' ', ' ', ' ', ' ', ' ', ' ', ' ', ' ', ' ']",https://www.themealdb.com/images/media/meals/r33cud1576791081.jpg,https://www.bbcgoodfood.com/recipes/1826685/christmas-pudding-trifle
2,52918,Fish Stew with Rouille,Seafood,French,"Twist the heads from the prawns, then peel away the legs and shells, but leave the tails intact. Devein each prawn. Fry the shells in 1 tbsp oil for 5 mins, until dark pink and golden in patches. Add the wine, boil down by two thirds, then pour in the stock. Strain into a jug, discarding the shells.
Heat the rest of the oil in a deep frying pan or casserole. Add the fennel, onion and garlic, season, then cover and gently cook for 10 mins until softened. Meanwhile, peel the potato and cut into 2cm-ish chunks. Put into a pan of cold water, bring to the boil and cook for 5 mins until almost tender. Drain in a colander.
Peel a strip of zest from the orange. Put the zest, star anise, bay and ½ tsp harissa into the pan. Fry gently, uncovered, for 5-10 mins, until the vegetables are soft, sweet and golden.
Stir in the tomato purée, cook for 2 mins, then add the tomatoes and stock. Simmer for 10 mins until the sauce thickens slightly. Season to taste. The sauce can be made ahead, then reheated later in the day. Meantime, scrub the mussels or clams and pull away any stringy beards. Any that are open should be tapped sharply on the worktop – if they don’t close after a few seconds, discard them.
Reheat the sauce if necessary, then stir the potato, chunks of fish and prawns very gently into the stew. Bring back to the boil, then cover and gently simmer for 3 mins. Scatter the mussels or clams over the stew, then cover and cook for 2 mins more or until the shells have opened wide. Discard any that remain closed. The chunks of fish should flake easily and the prawns should be pink through. Scatter with the thyme leaves.
To make the quick rouille, stir the rest of the harissa through the mayonnaise. Serve the stew in bowls, topped with spoonfuls of rouille, which will melt into the sauce and enrich it. Have some good bread ready, as you’ll definitely want to mop up the juices.","['Prawns', 'Olive Oil', 'Dry White Wine', 'Fish Stock', 'Fennel', 'Onion', 'Garlic', 'Potatoes', 'Orange', 'Star Anise', 'Bay Leaf', 'Harissa Spice', 'Tomato Puree', 'Chopped Tomatoes', 'Mussels', 'White Fish', 'Thyme', 'Bread']","['6 large', '3 tbs', '150ml', '200ml', '1 small finely diced', '1 small finely diced', '3 cloves Chopped', '1 large', '1', '1', '1', '1 1/2 tsp ', '2 tbs', '400g', 'Handful', '200g', '2', 'to serve']",https://www.themealdb.com/images/media/meals/vptqpw1511798500.jpg,https://www.bbcgoodfood.com/recipes/532640/summer-fish-stew-with-rouille
3,52805,Lamb Biryani,Lamb,Indian,"Grind the cashew, poppy seeds and cumin seeds into a smooth paste, using as little water as possible. Set aside. 

Deep fry the sliced onions when it is hot. Don’t overcrowd the oil. When the onions turn light brown, remove from oil and drain on paper towel. The fried onion will crisp up as it drains. Also fry the cashewnuts till golden brown. Set aside.

Wash the rice and soak in water for twenty minutes.
Meanwhile, take a big wide pan, add oil in medium heat, add the sliced onions, add the blended paste, to it add the green chillies, ginger garlic paste and garlic and fry for a minute.
Then add the tomatoes and sauté them well till they are cooked and not mushy.

Then to it add the red chilli powder, biryani powder, mint, coriander leaves and sauté them well.
Add the yogurt and mix well. I always move the skillet away from the heat when adding yogurt which prevents it from curdling.

Now after returning the skillet back to the stove, add the washed lamb and salt and ½ cup water and mix well. Cook for 1 hour and cook it covered in medium low heat or put it in a pressure cooker for 6 whistles. If the water is not drained totally, heat it by keeping it open.

Take another big pan, add thrice the cup of rice you use, and boil it. When it is boiling high, add the rice, salt and jeera and mix well. After 7 minutes exact or when the rice is 80% done. Switch off and drain the rice.

Now, the layering starts. To the lamb, pat and level it. Add the drained hot rice on the top of it. Garnish with fried onions, ghee, mint, coriander leaves and saffron dissolved in milk.

Cover the dish and bake in a 350f oven for 15 minutes or till the cooked but not mushy. Or cook in the stove medium heat for 12 minutes and lowest heat for 5 minutes. And switch off. Mix and serve hot!
Notes
1. If you are cooking in oven, do make sure to cook in a big oven safe pan and cover it tight and then keep in oven for the final step.
2. You can skip biryani masala if you don’t have and add just garam masala (1 tsp and red chilli powder – 3 tsp instead of 1 tsp)
3. If it is spicy in the end, squeeze some lemon, it will reduce the heat and enhance the flavors also.","['Cashew nuts', 'Khus khus', 'Cumin seeds', 'Onions', 'Ginger garlic paste', 'Garlic', 'Mint', 'Cilantro', 'Saffron', 'Ghee', 'Basmati rice', 'Full fat yogurt', 'Cumin Seeds', 'Bay leaf', 'Cinnamon', 'Cloves', 'Cardamom', 'Lamb', 'Red Chilli powder', 'Biryani masala']","['12', '½ tbsp', '½ tbsp', '3 sliced thinly', '2 tsp', '4 whole', 'Leaves', 'Leaves', '½ tsp dissolved in ½ cup warm milk', '2 tbsp', '2 Cups', '½ cup', '1 tbsp', '½', '1 thin piece', '3', '2', '1 lb', '1 tsp', '1 tbsp']",https://www.themealdb.com/images/media/meals/xrttsx1487339558.jpg,http://www.relishthebite.com/restaurant-style-lamb-biryani/
4,52846,Chicken & mushroom Hotpot,Chicken,British,"Heat oven to 200C/180C fan/gas 6. Put the butter in a medium-size saucepan and place over a medium heat. Add the onion and leave to cook for 5 mins, stirring occasionally. Add the mushrooms to the saucepan with the onions.

Once the onion and mushrooms are almost cooked, stir in the flour – this will make a thick paste called a roux. If you are using a stock cube, crumble the cube into the roux now and stir well. Put the roux over a low heat and stir continuously for 2 mins – this will cook the flour and stop the sauce from having a floury taste.

Take the roux off the heat. Slowly add the fresh stock, if using, or pour in 500ml water if you’ve used a stock cube, stirring all the time. Once all the liquid has been added, season with pepper, a pinch of nutmeg and mustard powder. Put the saucepan back onto a medium heat and slowly bring it to the boil, stirring all the time. Once the sauce has thickened, place on a very low heat. Add the cooked chicken and vegetables to the sauce and stir well. Grease a medium-size ovenproof pie dish with a little butter and pour in the chicken and mushroom filling.

Carefully lay the potatoes on top of the hot-pot filling, overlapping them slightly, almost like a pie top.

Brush the potatoes with a little melted butter and cook in the oven for about 35 mins. The hot-pot is ready once the potatoes are cooked and golden brown.","['Butter', 'Onion', 'Mushrooms', 'Plain Flour', 'Chicken Stock Cube', 'Nutmeg', 'Mustard Powder', 'Chicken', 'Sweetcorn', 'Potatoes', 'Butter']","['50g', '1 chopped', '100g ', '40g', '1', 'pinch', 'pinch', '250g', '2 Handfuls', '2 large', '1 knob']",https://www.themealdb.com/images/media/meals/uuuspp1511297945.jpg,https://www.bbcgoodfood.com/recipes/chicken-mushroom-hot-pot
5,52811,Ribollita,Vegetarian,Italian,"Put 2 tablespoons of the oil in a large pot over medium heat. When it’s hot, add onion, carrot, celery and garlic; sprinkle with salt and pepper and cook, stirring occasionally, until vegetables are soft, 5 to 10 minutes.
Heat the oven to 500 degrees. Drain the beans; if they’re canned, rinse them as well. Add them to the pot along with tomatoes and their juices and stock, rosemary and thyme. Bring to a boil, then reduce heat so the soup bubbles steadily; cover and cook, stirring once or twice to break up the tomatoes, until the flavors meld, 15 to 20 minutes.
Fish out and discard rosemary and thyme stems, if you like, and stir in kale. Taste and adjust seasoning. Lay bread slices on top of the stew so they cover the top and overlap as little as possible. Scatter red onion slices over the top, drizzle with the remaining 3 tablespoons oil and sprinkle with Parmesan.
Put the pot in the oven and bake until the bread, onions and cheese are browned and crisp, 10 to 15 minutes. (If your pot fits under the broiler, you can also brown the top there.) Divide the soup and bread among 4 bowls and serve.","['Olive Oil', 'Onion', 'Carrot', 'Celery', 'Garlic', 'Cannellini Beans', 'Canned tomatoes', 'Water', 'Rosemary', 'Thyme', 'Kale', 'Wholegrain Bread', 'Red Onion', 'Parmesan']","['5 tablespoons', '1 chopped', '1 chopped', '1 stalk chopped', '1 tablespoon minced', '2 cups', '1', '4 cups', '1 fresh sprig', '1 fresh sprig', '1 pound chopped', '4 thick slices', '1 thinly sliced', '½ cup freshly grated']",https://www.themealdb.com/images/media/meals/xrrwpx1487347049.jpg,https://cooking.nytimes.com/recipes/1016052-ribollita
6,52965,Breakfast Potatoes,Breakfast,Canadian,"Before you do anything, freeze your bacon slices that way when you're ready to prep, it'll be so much easier to chop!
Wash the potatoes and cut medium dice into square pieces. To prevent any browning, place the already cut potatoes in a bowl filled with water.
In the meantime, heat 1-2 tablespoons of oil in a large skillet over medium-high heat. Tilt the skillet so the oil spreads evenly.
Once the oil is hot, drain the potatoes and add to the skillet. Season with salt, pepper, and Old Bay as needed.
Cook for 10 minutes, stirring the potatoes often, until brown. If needed, add a tablespoon more of oil.
Chop up the bacon and add to the potatoes. The bacon will start to render and the fat will begin to further cook the potatoes. Toss it up a bit! The bacon will take 5-6 minutes to crisp.
Once the bacon is cooked, reduce the heat to medium-low, add the minced garlic and toss. Season once more. Add dried or fresh parsley. Control heat as needed.
Let the garlic cook until fragrant, about one minute.
Just before serving, drizzle over the maple syrup and toss. Let that cook another minute, giving the potatoes a caramelized effect.
Serve in a warm bowl with a sunny side up egg!","['Potatoes', 'Olive Oil', 'Bacon', 'Garlic Clove', 'Maple Syrup', 'Parsley', 'Salt', 'Pepper', 'Allspice']","['3 Medium', '1 tbs', '2 strips', 'Minced', '1 tbs', 'Garnish', 'Pinch', 'Pinch', 'To taste', ' ', ' ', ' ', ' ', ' ', ' ', ' ', ' ', ' ', ' ', ' ']",https://www.themealdb.com/images/media/meals/1550441882.jpg,http://www.vodkaandbiscuits.com/2014/03/06/bangin-breakfast-potatoes/
7,52919,Fennel Dauphinoise,Side,French,"Heat oven to 180C/160C fan/gas 4. Put potatoes, fennel, and garlic in a medium non-stick pan. Pour in milk and double cream, season well and simmer gently, covered, for 10 mins, stirring halfway through, until potatoes are just tender.
Divide the mixture between 2 small (about 150ml) buttered ramekins and scatter with Parmesan. Bake for 40 mins until the potatoes are golden and tender when pierced with a knife. Snip the reserved fennel fronds over before serving.","['Potatoes', 'Fennel', 'Garlic', 'Milk', 'Double Cream', 'Butter', 'Parmesan Cheese']","['225g', '1 small', '1 clove finely chopped', '75 ml ', '100ml', 'For Greasing', 'to serve']",https://www.themealdb.com/images/media/meals/ytttsv1511798734.jpg,https://www.bbcgoodfood.com/recipes/fennel-dauphinoise
8,53055,Cevapi Sausages,Beef,Croatian,"Place the ground meat in a bowl. Chop the onion very finely and grate the garlic cloves. Add to the bowl. Add the chopped parsley, all sorts of paprika, baking soda, dried breadcrumbs, water, Vegeta, salt, and pepper.
Mix well with the hand mixer fitted with the dough hooks. Cover the bowl with cling film/ plastic foil and leave to rest for 1 or 2 hours in the refrigerator.
Take portions of the meat mixture, about 50-55 g/ 1.7-1.9 oz/ ¼ cup portions, and form the cevapi. The rolls should be about as thick as your thumb and about 7-10 cm/ 3-4 inches long. I had 18 sausages. The recipe can be easily doubled.
Grill the cevapcici on the hot grill pan or on the barbecue for about 12-14 minutes, turning them several times in between, or until brown and cooked through. I checked by cutting one in the middle and then grilling the following batches for the same period of time.
Serve hot as suggested above. The cevapcici can be reheated in the oven at 180 degrees Celsius/ 350 degrees Fahrenheit for about 10 minutes or until heated through. Check one, if it is not hot enough, give the sausages a few more minutes.","['Minced Beef', 'Minced Pork', 'Onion', 'Garlic', 'Parsley', 'Paprika', 'Baking Powder', 'Breadcrumbs', 'Water', 'Vegetable Stock Cube', 'Salt', 'Pepper']","['500g', '250g', '1', '4 cloves', '3 tblsp chopped', '1 tbs', '3/4 teaspoon', '2 tbs', '3 tbs', '1', '1 tsp ', '1 tsp ', ' ', ' ', ' ', ' ', ' ', ' ', ' ', ' ']",https://www.themealdb.com/images/media/meals/vc08jn1628769553.jpg,https://whereismyspoon.co/cevapi-or-cevapcici-recipe-grilled-sausages-croatian-food/
9,52919,Fennel Dauphinoise,Side,French,"Heat oven to 180C/160C fan/gas 4. Put potatoes, fennel, and garlic in a medium non-stick pan. Pour in milk and double cream, season well and simmer gently, covered, for 10 mins, stirring halfway through, until potatoes are just tender.
Divide the mixture between 2 small (about 150ml) buttered ramekins and scatter with Parmesan. Bake for 40 mins until the potatoes are golden and tender when pierced with a knife. Snip the reserved fennel fronds over before serving.","['Potatoes', 'Fennel', 'Garlic', 'Milk', 'Double Cream', 'Butter', 'Parmesan Cheese']","['225g', '1 small', '1 clove finely chopped', '75 ml ', '100ml', 'For Greasing', 'to serve']",https://www.themealdb.com/images/media/meals/ytttsv1511798734.jpg,https://www.bbcgoodfood.com/recipes/fennel-dauphinoise
